target_name,generation,X_L,X_F,X_B,X_C,mean_risk,mean_fitness,p_F_given_L,p_L_given_F,p_L_given_B,f_L,f_F,f_B,f_C,CM,expected_p_F_given_L,expected_p_L_given_F,expected_p_L_given_B,expected_f_L,expected_f_F,expected_f_B,expected_f_C,expected_CM
Figure 1B,0,0.45,0.22,0.24,0.09,0.3381342,-0.3381342,0.4427708237008365,0.5047650199552554,0.4457361645088509,0.5115900000000003,0.4581599999999998,0.02933999999999994,0.0009100000000000007,0.9697500000000001,1.0,0.0,0.0,0.0,0.0,0.49,0.51,0.0
Figure 1B,10,0.45,0.22,0.24,0.09,0.252787,-0.252787,0.5410712241311356,0.05954475135280258,0.4957542838341571,0.13532000000000002,0.7437100000000001,0.1159299999999999,0.005040000000000004,0.8790300000000001,1.0,0.0,0.0,0.0,0.0,0.49,0.51,0.0
Figure 1B,20,0.45,0.22,0.24,0.09,0.2357347,-0.2357347,0.7151456491720053,0.04361510731399918,0.30171409843028,0.08113,0.44322999999999985,0.39271999999999996,0.08291999999999998,0.5243599999999998,1.0,0.0,0.0,0.0,0.0,0.49,0.51,0.0
Figure 1B,30,0.45,0.22,0.24,0.09,0.20635839999999997,-0.20635839999999997,0.5845990860504134,0.03397010871165693,0.015979023116669412,0.018889999999999966,0.08379999999999997,0.6577599999999996,0.23955000000000004,0.10268999999999993,1.0,0.0,0.0,0.0,0.0,0.49,0.51,0.0
Figure 1B,40,0.45,0.22,0.24,0.09,0.20013849999999997,-0.20013849999999997,0.5446885567397944,0.03245072740592095,0.0023153373922962114,0.005690000000000004,0.019269999999999964,0.7038999999999994,0.2711399999999999,0.02495999999999997,1.0,0.0,0.0,0.0,0.0,0.49,0.51,0.0
Figure 1B,50,0.45,0.22,0.24,0.09,0.19995569999999996,-0.19995569999999996,0.5737925194432274,0.02939866996428589,0.001504520497404726,0.004890000000000003,0.019559999999999966,0.7043499999999997,0.2712,0.02444999999999997,1.0,0.0,0.0,0.0,0.0,0.49,0.51,0.0
Figure 1B,60,0.45,0.22,0.24,0.09,0.19977639999999997,-0.19977639999999997,0.616486232090757,0.028077786148220242,0.0015344561298709673,0.004440000000000002,0.017799999999999972,0.7057599999999996,0.272,0.022239999999999975,1.0,0.0,0.0,0.0,0.0,0.49,0.51,0.0
Figure 1B,70,0.45,0.22,0.24,0.09,0.19928269999999998,-0.19928269999999998,0.6456239405559103,0.025890443894558163,0.0017887211655217383,0.0035000000000000014,0.011839999999999993,0.7098899999999994,0.27476999999999996,0.015339999999999994,1.0,0.0,0.0,0.0,0.0,0.49,0.51,0.0
Figure 1B,80,0.45,0.22,0.24,0.09,0.1994009,-0.1994009,0.683103824486851,0.02701861310157754,0.0016936169713581914,0.003640000000000002,0.013699999999999983,0.7087300000000001,0.27392999999999995,0.017339999999999984,1.0,0.0,0.0,0.0,0.0,0.49,0.51,0.0
Figure 1B,90,0.45,0.22,0.24,0.09,0.19938309999999998,-0.19938309999999998,0.6984143292059397,0.028299873832898642,0.0016103262535873415,0.003620000000000002,0.013629999999999984,0.7087199999999992,0.27403,0.017249999999999988,1.0,0.0,0.0,0.0,0.0,0.49,0.51,0.0
Figure 1B,100,0.45,0.22,0.24,0.09,0.1989311,-0.1989311,0.7510922931816616,0.02940145949769934,0.0015333500921908558,0.002520000000000001,0.008780000000000007,0.7125499999999999,0.27615,0.011300000000000008,1.0,0.0,0.0,0.0,0.0,0.49,0.51,0.0
Figure 1B,110,0.45,0.22,0.24,0.09,0.19891859999999997,-0.19891859999999997,0.7768006095642579,0.03078357495040903,0.0014850696665818547,0.002610000000000001,0.008250000000000006,0.7127099999999997,0.27643,0.010860000000000007,1.0,0.0,0.0,0.0,0.0,0.49,0.51,0.0
Figure 1B,120,0.45,0.22,0.24,0.09,0.1990769,-0.1990769,0.8112750441472656,0.03075054998632509,0.0023085054651223996,0.003220000000000001,0.008540000000000006,0.7120499999999994,0.2761900000000001,0.011760000000000007,1.0,0.0,0.0,0.0,0.0,0.49,0.51,0.0
Figure 1B,130,0.45,0.22,0.24,0.09,0.19912989999999997,-0.19912989999999997,0.8112125728224945,0.03405110404839245,0.002740111339083226,0.003340000000000002,0.009250000000000006,0.7114999999999995,0.27590999999999993,0.012590000000000007,1.0,0.0,0.0,0.0,0.0,0.49,0.51,0.0
Figure 1B,140,0.45,0.22,0.24,0.09,0.19879349999999998,-0.19879349999999998,0.8179704424756425,0.03387743725547208,0.0018041711518939352,0.0022900000000000012,0.007020000000000005,0.7137099999999993,0.2769799999999998,0.009310000000000006,1.0,0.0,0.0,0.0,0.0,0.49,0.51,0.0
Figure 1B,150,0.45,0.22,0.24,0.09,0.19886769999999998,-0.19886769999999998,0.8266401734204466,0.03409620133898419,0.0016222772041508426,0.0023700000000000014,0.008200000000000006,0.7129899999999998,0.2764400000000002,0.010570000000000006,1.0,0.0,0.0,0.0,0.0,0.49,0.51,0.0
Figure 1B,160,0.45,0.22,0.24,0.09,0.19889069999999998,-0.19889069999999998,0.8284727217809995,0.03322927683976298,0.001889256857140758,0.0027400000000000007,0.006810000000000005,0.7134599999999994,0.27698999999999996,0.009550000000000006,1.0,0.0,0.0,0.0,0.0,0.49,0.51,0.0
Figure 1B,170,0.45,0.22,0.24,0.09,0.19905289999999998,-0.19905289999999998,0.8391713217897461,0.03714875742717052,0.0028621591144089727,0.0033000000000000017,0.007730000000000006,0.7123999999999995,0.27657,0.011030000000000009,1.0,0.0,0.0,0.0,0.0,0.49,0.51,0.0
Figure 1B,180,0.45,0.22,0.24,0.09,0.19857439999999996,-0.19857439999999996,0.8334238365480744,0.033097049044208605,0.001256218096587404,0.0016500000000000006,0.004880000000000004,0.7156399999999988,0.27782999999999985,0.0065300000000000046,1.0,0.0,0.0,0.0,0.0,0.49,0.51,0.0
Figure 1B,190,0.45,0.22,0.24,0.09,0.19889329999999997,-0.19889329999999997,0.8384211663453948,0.03624983993985938,0.002208494051592656,0.002750000000000001,0.007010000000000005,0.7132799999999999,0.27696,0.009760000000000007,1.0,0.0,0.0,0.0,0.0,0.49,0.51,0.0
