target_name,run,generation,X_L,X_F,X_B,X_C,mean_risk,mean_fitness,p_F_given_L,p_L_given_F,p_L_given_B,f_L,f_F,f_B,f_C,CM,expected_p_F_given_L,expected_p_L_given_F,expected_p_L_given_B,expected_f_L,expected_f_F,expected_f_B,expected_f_C,expected_CM
Figure 2A,1,0,0.38,0.15,0.11,0.36,0.26276828,-0.26276828,0.500175743015457,0.5004179760123874,0.5013217616554898,0.49014800000000003,0.4827579999999997,0.02262199999999999,0.0044719999999999465,0.9729059999999997,1.0,0.0,0.27,0.07,0.5,0.26,0.17,0.57
Figure 2A,1,1,0.38,0.15,0.11,0.36,0.24894924000000002,-0.24894924000000002,0.5563721118114948,0.4649773756558884,0.4947718796729185,0.430318,0.5467719999999999,0.019339999999999975,0.0035699999999999664,0.9770899999999999,1.0,0.0,0.27,0.07,0.5,0.26,0.17,0.57
Figure 2A,1,2,0.38,0.15,0.11,0.36,0.23625232,-0.23625232,0.5973411096228313,0.41758193035979146,0.48298182497712405,0.3755200000000001,0.5987480000000008,0.022083999999999944,0.0036479999999999655,0.9742680000000009,1.0,0.0,0.27,0.07,0.5,0.26,0.17,0.57
Figure 2A,1,3,0.38,0.15,0.11,0.36,0.22417184,-0.22417184,0.6287877980254205,0.36868208346315273,0.4808167802423646,0.323332,0.6460799999999998,0.026471999999999957,0.004115999999999966,0.9694119999999997,1.0,0.0,0.27,0.07,0.5,0.26,0.17,0.57
Figure 2A,1,4,0.38,0.15,0.11,0.36,0.21489392,-0.21489392,0.6448658434281028,0.31532827889222137,0.47228355944296135,0.2829220000000001,0.686562,0.02634599999999997,0.004169999999999962,0.9694840000000001,1.0,0.0,0.27,0.07,0.5,0.26,0.17,0.57
Figure 2A,1,5,0.38,0.15,0.11,0.36,0.20513772,-0.20513772,0.6461270259041384,0.25822224306177693,0.47248284788954464,0.24111599999999986,0.7225099999999997,0.031829999999999956,0.004543999999999959,0.9636259999999995,1.0,0.0,0.27,0.07,0.5,0.26,0.17,0.57
Figure 2A,1,6,0.38,0.15,0.11,0.36,0.19668948,-0.19668948,0.6412948608045518,0.20179660235090346,0.4722968258005322,0.20454800000000017,0.7596379999999996,0.031509999999999955,0.004303999999999958,0.9641859999999998,1.0,0.0,0.27,0.07,0.5,0.26,0.17,0.57
Figure 2A,1,7,0.38,0.15,0.11,0.36,0.18850218,-0.18850218,0.6420392265166847,0.15708247021407412,0.4755603272143587,0.16892000000000018,0.7944819999999997,0.03213999999999999,0.004457999999999954,0.9634019999999999,1.0,0.0,0.27,0.07,0.5,0.26,0.17,0.57
Figure 2A,1,8,0.38,0.15,0.11,0.36,0.1808936,-0.1808936,0.6425035584342554,0.11848036790483021,0.4830319874902066,0.13605000000000003,0.8207899999999998,0.03784600000000003,0.005313999999999944,0.9568399999999998,1.0,0.0,0.27,0.07,0.5,0.26,0.17,0.57
Figure 2A,1,9,0.38,0.15,0.11,0.36,0.1778227,-0.1778227,0.6378987881752503,0.08658788449298978,0.4896897635528818,0.11973400000000012,0.7957379999999994,0.069868,0.01465999999999995,0.9154719999999995,1.0,0.0,0.27,0.07,0.5,0.26,0.17,0.57
