target_name,run,generation,X_L,X_F,X_B,X_C,mean_risk,mean_fitness,p_F_given_L,p_L_given_F,p_L_given_B,f_L,f_F,f_B,f_C,CM,expected_p_F_given_L,expected_p_L_given_F,expected_p_L_given_B,expected_f_L,expected_f_F,expected_f_B,expected_f_C,expected_CM
Figure 2B,0,0,0.25,0.19,0.03,0.53,0.2170708,-0.2170708,0.50884988372452,0.5094410177419216,0.4981252891687154,0.48736799999999925,0.4846740000000005,0.023353999999999982,0.0046039999999999545,0.9720419999999997,0.94,0.01,0.1,0.04,0.28,0.37,0.31,0.31
Figure 2B,0,1,0.25,0.19,0.03,0.53,0.21313856,-0.21313856,0.5655126440113896,0.47160151499211356,0.49325782047197203,0.4263719999999996,0.5464920000000002,0.023339999999999955,0.0037959999999999682,0.9728639999999997,0.94,0.01,0.1,0.04,0.28,0.37,0.31,0.31
Figure 2B,0,2,0.25,0.19,0.03,0.53,0.21008472,-0.21008472,0.6039611031458936,0.4247665386975971,0.4809680722588539,0.37871999999999945,0.5918520000000013,0.02528799999999998,0.00413999999999996,0.9705720000000007,0.94,0.01,0.1,0.04,0.28,0.37,0.31,0.31
Figure 2B,0,3,0.25,0.19,0.03,0.53,0.20657304,-0.20657304,0.6293319073272863,0.3765148310661936,0.47304602592018313,0.3325179999999996,0.6318879999999997,0.03095999999999996,0.0046339999999999585,0.9644059999999992,0.94,0.01,0.1,0.04,0.28,0.37,0.31,0.31
Figure 2B,0,4,0.25,0.19,0.03,0.53,0.20380808000000003,-0.20380808000000003,0.6470999493846619,0.323850566758419,0.46434710894282927,0.2933859999999999,0.6662760000000001,0.03501999999999996,0.0053179999999999495,0.959662,0.94,0.01,0.1,0.04,0.28,0.37,0.31,0.31
Figure 2B,0,5,0.25,0.19,0.03,0.53,0.20072112,-0.20072112,0.6554200252791565,0.2777879351725543,0.451538345787972,0.25716799999999995,0.6924260000000007,0.04369399999999996,0.00671199999999995,0.9495940000000006,0.94,0.01,0.1,0.04,0.28,0.37,0.31,0.31
Figure 2B,0,6,0.25,0.19,0.03,0.53,0.1990198,-0.1990198,0.6523837759813234,0.23374366270559419,0.4402951621897256,0.22860199999999983,0.7215460000000001,0.043292000000000025,0.006559999999999936,0.950148,0.94,0.01,0.1,0.04,0.28,0.37,0.31,0.31
Figure 2B,0,7,0.25,0.19,0.03,0.53,0.197095,-0.197095,0.6507443960891892,0.19873476301444198,0.42874867960815116,0.20019000000000015,0.7448199999999997,0.04722600000000003,0.007763999999999931,0.9450099999999999,0.94,0.01,0.1,0.04,0.28,0.37,0.31,0.31
Figure 2B,0,8,0.25,0.19,0.03,0.53,0.19500348,-0.19500348,0.6456111969818393,0.17152772396279659,0.41271304826194166,0.17660399999999998,0.7576100000000007,0.05592000000000008,0.009865999999999955,0.9342140000000007,0.94,0.01,0.1,0.04,0.28,0.37,0.31,0.31
Figure 2B,0,9,0.25,0.19,0.03,0.53,0.19324164000000002,-0.19324164000000002,0.6399465955828016,0.1480891443950062,0.3985752376453771,0.15477400000000008,0.7676459999999997,0.0648440000000002,0.012735999999999957,0.9224199999999998,0.94,0.01,0.1,0.04,0.28,0.37,0.31,0.31
Figure 2B,0,10,0.25,0.19,0.03,0.53,0.1921286,-0.1921286,0.637388765715136,0.13717894129622055,0.3810328860109786,0.13956800000000008,0.766554000000001,0.0763280000000002,0.01754999999999998,0.906122000000001,0.94,0.01,0.1,0.04,0.28,0.37,0.31,0.31
Figure 2B,0,11,0.25,0.19,0.03,0.53,0.19138892000000002,-0.19138892000000002,0.6317621063616206,0.1296289680325927,0.37187355397617744,0.12859000000000004,0.7686819999999999,0.0825080000000001,0.020219999999999985,0.8972719999999998,0.94,0.01,0.1,0.04,0.28,0.37,0.31,0.31
Figure 2B,0,12,0.25,0.19,0.03,0.53,0.19099184,-0.19099184,0.6326279909227472,0.1256388016168047,0.36688665885946964,0.12185999999999993,0.7631040000000002,0.09086400000000008,0.024171999999999992,0.8849640000000002,0.94,0.01,0.1,0.04,0.28,0.37,0.31,0.31
Figure 2B,0,13,0.25,0.19,0.03,0.53,0.19112736000000002,-0.19112736000000002,0.6319207744753039,0.12310001379607624,0.3506972597478672,0.11376400000000027,0.7412080000000003,0.11001600000000011,0.03501200000000001,0.8549720000000006,0.94,0.01,0.1,0.04,0.28,0.37,0.31,0.31
Figure 2B,0,14,0.25,0.19,0.03,0.53,0.19447688,-0.19447688,0.630387454540728,0.1107600933607177,0.3440967610792077,0.0993059999999999,0.6715159999999989,0.15880400000000044,0.07037400000000003,0.7708219999999988,0.94,0.01,0.1,0.04,0.28,0.37,0.31,0.31
Figure 2B,0,15,0.25,0.19,0.03,0.53,0.19644244,-0.19644244,0.6368443651475432,0.10318619512912146,0.3501380400831601,0.0964199999999999,0.6453440000000001,0.17428600000000016,0.08395000000000008,0.7417640000000001,0.94,0.01,0.1,0.04,0.28,0.37,0.31,0.31
Figure 2B,0,16,0.25,0.19,0.03,0.53,0.19633116,-0.19633116,0.6460901198827075,0.09115923682000483,0.3682968075586268,0.09468599999999994,0.6452140000000004,0.17556800000000033,0.08453200000000016,0.7399000000000003,0.94,0.01,0.1,0.04,0.28,0.37,0.31,0.31
Figure 2B,0,17,0.25,0.19,0.03,0.53,0.19690816,-0.19690816,0.657746031923952,0.08351805268711633,0.3754331835895564,0.09377599999999998,0.6380339999999998,0.17980600000000038,0.0883840000000001,0.7318099999999997,0.94,0.01,0.1,0.04,0.28,0.37,0.31,0.31
Figure 2B,0,18,0.25,0.19,0.03,0.53,0.1967222,-0.1967222,0.6746967329949185,0.07530123284820102,0.39102509962432386,0.09412199999999996,0.6408460000000002,0.17807200000000037,0.08696000000000005,0.7349680000000002,0.94,0.01,0.1,0.04,0.28,0.37,0.31,0.31
Figure 2B,0,19,0.25,0.19,0.03,0.53,0.19699848,-0.19699848,0.6825001878019944,0.06896249858330807,0.40079411261410436,0.09270999999999982,0.6376080000000005,0.1805120000000003,0.08917000000000011,0.7303180000000004,0.94,0.01,0.1,0.04,0.28,0.37,0.31,0.31
Figure 2B,0,20,0.25,0.19,0.03,0.53,0.19683204,-0.19683204,0.7023290417075231,0.05917900280256484,0.40941809868688944,0.09315000000000001,0.6392439999999993,0.1794860000000006,0.08812000000000009,0.7323939999999993,0.94,0.01,0.1,0.04,0.28,0.37,0.31,0.31
Figure 2B,0,21,0.25,0.19,0.03,0.53,0.19689372,-0.19689372,0.7138267367263571,0.05443553160319292,0.41163416811631987,0.09279199999999987,0.6381779999999998,0.18028800000000042,0.08874200000000014,0.7309699999999997,0.94,0.01,0.1,0.04,0.28,0.37,0.31,0.31
Figure 2B,0,22,0.25,0.19,0.03,0.53,0.1973736,-0.1973736,0.7271220970305997,0.05089756731661139,0.41668583425983396,0.09332599999999976,0.6322180000000005,0.18308200000000016,0.09137400000000005,0.7255440000000003,0.94,0.01,0.1,0.04,0.28,0.37,0.31,0.31
Figure 2B,0,23,0.25,0.19,0.03,0.53,0.1970024,-0.1970024,0.736139571641036,0.04968182477202192,0.41731097241529447,0.09226599999999996,0.6365679999999999,0.18146000000000045,0.0897060000000001,0.7288339999999999,0.94,0.01,0.1,0.04,0.28,0.37,0.31,0.31
Figure 2B,0,24,0.25,0.19,0.03,0.53,0.19744764,-0.19744764,0.7451400952824513,0.045031158326644276,0.42664023336449514,0.09283599999999995,0.6313419999999991,0.18380399999999997,0.09201799999999996,0.724177999999999,0.94,0.01,0.1,0.04,0.28,0.37,0.31,0.31
Figure 2B,0,25,0.25,0.19,0.03,0.53,0.197506,-0.197506,0.7583165503405689,0.043442172391598574,0.43156290516480345,0.09183399999999979,0.6308220000000008,0.18460200000000004,0.09274200000000007,0.7226560000000005,0.94,0.01,0.1,0.04,0.28,0.37,0.31,0.31
Figure 2B,0,26,0.25,0.19,0.03,0.53,0.19791512,-0.19791512,0.768230018411667,0.040941268954634076,0.43352672119896346,0.09141199999999985,0.6254779999999993,0.18765400000000002,0.095456,0.7168899999999991,0.94,0.01,0.1,0.04,0.28,0.37,0.31,0.31
Figure 2B,0,27,0.25,0.19,0.03,0.53,0.1983106,-0.1983106,0.7731511136010052,0.040018391276181724,0.43743327399854726,0.09160799999999969,0.6217740000000002,0.18927200000000005,0.09734599999999997,0.7133819999999998,0.94,0.01,0.1,0.04,0.28,0.37,0.31,0.31
Figure 2B,0,28,0.25,0.19,0.03,0.53,0.197903,-0.197903,0.7826477334282607,0.03592530611211526,0.4459691463733313,0.09298799999999977,0.6264540000000003,0.18613200000000008,0.09442599999999994,0.719442,0.94,0.01,0.1,0.04,0.28,0.37,0.31,0.31
Figure 2B,0,29,0.25,0.19,0.03,0.53,0.19797927999999998,-0.19797927999999998,0.7958428707425985,0.035690184921038495,0.45066629306499745,0.09170599999999986,0.6261059999999995,0.18693400000000018,0.09525399999999998,0.7178119999999993,0.94,0.01,0.1,0.04,0.28,0.37,0.31,0.31
Figure 2B,0,30,0.25,0.19,0.03,0.53,0.1978398,-0.1978398,0.8043193704143843,0.03241347049607359,0.45713127619037336,0.09296199999999975,0.6274760000000006,0.18557799999999983,0.09398400000000003,0.7204380000000004,0.94,0.01,0.1,0.04,0.28,0.37,0.31,0.31
Figure 2B,0,31,0.25,0.19,0.03,0.53,0.19774816,-0.19774816,0.8156944513896462,0.030665783849574055,0.45953668569874256,0.09424599999999955,0.6291940000000004,0.18387400000000023,0.092686,0.7234399999999999,0.94,0.01,0.1,0.04,0.28,0.37,0.31,0.31
Figure 2B,0,32,0.25,0.19,0.03,0.53,0.19750595999999998,-0.19750595999999998,0.8232250423753784,0.029402844447115592,0.4615835748580916,0.09363199999999973,0.6322619999999993,0.18261599999999992,0.09148999999999996,0.725893999999999,0.94,0.01,0.1,0.04,0.28,0.37,0.31,0.31
Figure 2B,0,33,0.25,0.19,0.03,0.53,0.19743628000000002,-0.19743628000000002,0.8281082365061464,0.028251687303180634,0.4671372809812923,0.09376999999999987,0.6328680000000001,0.18226599999999987,0.09109599999999991,0.726638,0.94,0.01,0.1,0.04,0.28,0.37,0.31,0.31
Figure 2B,0,34,0.25,0.19,0.03,0.53,0.19683728,-0.19683728,0.8309147289934391,0.027254471750738522,0.47074867675689047,0.09354599999999978,0.6410260000000005,0.17804199999999984,0.08738599999999996,0.7345720000000003,0.94,0.01,0.1,0.04,0.28,0.37,0.31,0.31
Figure 2B,0,35,0.25,0.19,0.03,0.53,0.19685968,-0.19685968,0.8377957946991516,0.02582700046603619,0.47504448482718736,0.09407799999999972,0.6406220000000006,0.17797399999999994,0.0873259999999999,0.7347000000000004,0.94,0.01,0.1,0.04,0.28,0.37,0.31,0.31
Figure 2B,0,36,0.25,0.19,0.03,0.53,0.1971918,-0.1971918,0.8446692154956027,0.025431877049982645,0.47605876321638996,0.09406999999999974,0.6363900000000012,0.18019199999999977,0.08934799999999983,0.730460000000001,0.94,0.01,0.1,0.04,0.28,0.37,0.31,0.31
Figure 2B,0,37,0.25,0.19,0.03,0.53,0.19741788,-0.19741788,0.845371834818377,0.026652402414572,0.47203970085808966,0.09301399999999972,0.6332799999999997,0.1824459999999998,0.09125999999999992,0.7262939999999994,0.94,0.01,0.1,0.04,0.28,0.37,0.31,0.31
Figure 2B,0,38,0.25,0.19,0.03,0.53,0.19761948000000001,-0.19761948000000001,0.8524876072818844,0.024727734263282536,0.4754520488685892,0.09398999999999982,0.6313980000000003,0.18277599999999963,0.09183599999999982,0.7253880000000001,0.94,0.01,0.1,0.04,0.28,0.37,0.31,0.31
Figure 2B,0,39,0.25,0.19,0.03,0.53,0.19749748,-0.19749748,0.8519347721469381,0.025401455390517372,0.47165619361440714,0.09230199999999976,0.6319940000000005,0.18356000000000006,0.09214399999999995,0.7242960000000003,0.94,0.01,0.1,0.04,0.28,0.37,0.31,0.31
Figure 2B,0,40,0.25,0.19,0.03,0.53,0.19742988,-0.19742988,0.8589154823827383,0.0252461817885517,0.4725233109669928,0.09216599999999985,0.6327460000000008,0.18325999999999978,0.09182799999999984,0.7249120000000007,0.94,0.01,0.1,0.04,0.28,0.37,0.31,0.31
Figure 2B,0,41,0.25,0.19,0.03,0.53,0.197792,-0.197792,0.8605749039884324,0.024327414290263888,0.47310514415946003,0.09317199999999981,0.629325999999999,0.18429799999999968,0.09320399999999986,0.7224979999999989,0.94,0.01,0.1,0.04,0.28,0.37,0.31,0.31
Figure 2B,0,42,0.25,0.19,0.03,0.53,0.19797748,-0.19797748,0.8642558088370087,0.02350384201898216,0.4732837941843366,0.0936439999999998,0.6266300000000005,0.18549599999999994,0.0942299999999998,0.7202740000000003,0.94,0.01,0.1,0.04,0.28,0.37,0.31,0.31
Figure 2B,0,43,0.25,0.19,0.03,0.53,0.19787036,-0.19787036,0.8677605779948128,0.02279642050966973,0.4689562196742894,0.09212799999999971,0.6276700000000006,0.1858519999999995,0.09434999999999989,0.7197980000000004,0.94,0.01,0.1,0.04,0.28,0.37,0.31,0.31
Figure 2B,0,44,0.25,0.19,0.03,0.53,0.19820828000000001,-0.19820828000000001,0.8720310029815554,0.022323874594615708,0.4703593629393366,0.09185399999999977,0.6239400000000006,0.1878659999999998,0.09633999999999987,0.7157940000000004,0.94,0.01,0.1,0.04,0.28,0.37,0.31,0.31
Figure 2B,0,45,0.25,0.19,0.03,0.53,0.19844372000000002,-0.19844372000000002,0.8760137441758296,0.021521608780939425,0.4740257962583496,0.09222199999999967,0.6217180000000001,0.18869999999999995,0.09735999999999978,0.7139399999999998,0.94,0.01,0.1,0.04,0.28,0.37,0.31,0.31
Figure 2B,0,46,0.25,0.19,0.03,0.53,0.19896176,-0.19896176,0.8767193034218489,0.020263041122175425,0.47584167544632994,0.09231399999999985,0.6152480000000002,0.19201199999999957,0.10042599999999978,0.7075620000000001,0.94,0.01,0.1,0.04,0.28,0.37,0.31,0.31
Figure 2B,0,47,0.25,0.19,0.03,0.53,0.19803736,-0.19803736,0.8809009148214739,0.01904317946516061,0.4858358675421078,0.09330999999999962,0.6266760000000007,0.18553199999999964,0.09448199999999987,0.7199860000000002,0.94,0.01,0.1,0.04,0.28,0.37,0.31,0.31
