target_name,run,gen,X_L,X_F,X_B,X_C,f_L,f_F,f_B,f_C,mean_fitness,mean_p_F_given_L,mean_p_L_given_F,mean_p_L_given_B,CM
1B,0,0,0.45,0.22,0.24,0.09,0.491348,0.476074,0.02627,0.006308,0.0061422470475787205,0.48787844956245363,0.49495848470587567,0.49402769230824606,0.967422
1B,0,1,0.45,0.22,0.24,0.09,0.258836,0.704926,0.029062,0.007176,0.0072372508782966955,0.642967581624024,0.2586658158373008,0.46951856821788596,0.963762
1B,0,2,0.45,0.22,0.24,0.09,0.119418,0.783434,0.077446,0.019702,0.008100591800646336,0.683021652115871,0.08152522433512838,0.43621378053847126,0.902852
1B,0,3,0.45,0.22,0.24,0.09,0.087456,0.598122,0.203788,0.110634,0.008670915862437628,0.7609653135009405,0.02998364665820509,0.37807952835084613,0.685578
1B,0,4,0.45,0.22,0.24,0.09,0.051036,0.35815,0.330036,0.260778,0.009745150118686397,0.8053054065253042,0.02783585230743283,0.13154577123246264,0.40918600000000005
1B,0,5,0.45,0.22,0.24,0.09,0.027932,0.183962,0.409316,0.37879,0.010709925556315109,0.8154602748547349,0.027037581383100837,0.04116538868722193,0.21189399999999997
1B,0,6,0.45,0.22,0.24,0.09,0.014902,0.084906,0.451712,0.44848,0.011372833973616927,0.8289548126896821,0.025269600905361046,0.017823914862697583,0.099808
1B,0,7,0.45,0.22,0.24,0.09,0.009624,0.043838,0.468774,0.477764,0.011676892995330417,0.8406810691179074,0.025008702725199984,0.009460240576984798,0.053462
1B,0,8,0.45,0.22,0.24,0.09,0.006314,0.02139,0.478224,0.494072,0.011859472211857706,0.8488370773946002,0.0244488441084383,0.004670230058631109,0.027704
1B,0,9,0.45,0.22,0.24,0.09,0.004634,0.011668,0.48243,0.501268,0.011940988316668049,0.8584183477282512,0.022537401074285392,0.0027393180810673205,0.016302
1B,0,10,0.45,0.22,0.24,0.09,0.004342,0.010462,0.483002,0.502194,0.011958227710357459,0.8521867120037375,0.023424831903345763,0.0017190170175939029,0.014804000000000001
1B,0,11,0.45,0.22,0.24,0.09,0.004224,0.010722,0.482974,0.50208,0.01195522917322383,0.8510273514940055,0.02307930192452718,0.0016050768239640413,0.014946000000000001
1B,0,12,0.45,0.22,0.24,0.09,0.004042,0.00914,0.483652,0.503166,0.01196936579153392,0.8616677301887564,0.021690084065227603,0.0014311229040909032,0.013182
1B,0,13,0.45,0.22,0.24,0.09,0.003996,0.009366,0.48356,0.503078,0.01196647652371228,0.8721024028094917,0.020684702511404196,0.0014622801112030989,0.013361999999999999
1B,0,14,0.45,0.22,0.24,0.09,0.003896,0.008684,0.48386,0.50356,0.011973743104113872,0.8770570759008346,0.020587579360929545,0.0017774873785865945,0.012580000000000001
1B,0,15,0.45,0.22,0.24,0.09,0.00404,0.008892,0.483744,0.503324,0.011969771315527095,0.878642995973021,0.022318397111308997,0.001453924485391623,0.012932
1B,0,16,0.45,0.22,0.24,0.09,0.003902,0.008058,0.484108,0.503932,0.01197815698531042,0.8868180101069432,0.025894498278450896,0.0014064603592203815,0.011959999999999998
1B,0,17,0.45,0.22,0.24,0.09,0.003798,0.008272,0.484104,0.503826,0.011977173896423585,0.8818975938283641,0.02502315595335631,0.0014521977484592975,0.01207
1B,0,18,0.45,0.22,0.24,0.09,0.003704,0.007708,0.484374,0.504214,0.011982060820570324,0.8864899127212875,0.02492196649827967,0.0012547985785551076,0.011411999999999999
1B,0,19,0.45,0.22,0.24,0.09,0.003804,0.008312,0.484082,0.503802,0.01197704626517384,0.888567243329413,0.024302908780273746,0.0013549623133192544,0.012116
1B,0,20,0.45,0.22,0.24,0.09,0.003862,0.007846,0.484234,0.504058,0.01198152377807354,0.8844023912517801,0.023537306310712842,0.0011874656809337865,0.011708
1B,0,21,0.45,0.22,0.24,0.09,0.003828,0.008194,0.484122,0.503856,0.011976709807176831,0.8848879216245658,0.02619335983827117,0.001429325490360868,0.012022
1B,0,22,0.45,0.22,0.24,0.09,0.00396,0.00847,0.483906,0.503664,0.011974112130841609,0.8881705782886826,0.026708127745701644,0.001625677817905545,0.01243
1B,0,23,0.45,0.22,0.24,0.09,0.00357,0.007136,0.484636,0.504658,0.011987813880180631,0.8916160259980872,0.024248787302811083,0.0010162256151348562,0.010706
1B,0,24,0.45,0.22,0.24,0.09,0.003524,0.006942,0.484728,0.504806,0.011991038172410907,0.8900755001891307,0.02600996317125282,0.0009941063560876388,0.010466
1B,0,25,0.45,0.22,0.24,0.09,0.003892,0.007804,0.484206,0.504098,0.01197957743855233,0.9039792433621087,0.02405452355082567,0.0016357471587537913,0.011696
1B,0,26,0.45,0.22,0.24,0.09,0.003654,0.00653,0.484822,0.504994,0.011989140139789835,0.9109292261600617,0.024018285365782995,0.0011190430769672307,0.010184
1B,0,27,0.45,0.22,0.24,0.09,0.003614,0.00712,0.484596,0.50467,0.0119871759782684,0.9112158067373549,0.02682626759028849,0.0011838209793359864,0.010734
1B,0,28,0.45,0.22,0.24,0.09,0.00347,0.006334,0.48499,0.505206,0.011995605203602069,0.9149809126585211,0.025630152874315273,0.0010541761416816909,0.009804
1B,0,29,0.45,0.22,0.24,0.09,0.003356,0.00636,0.485046,0.505238,0.01199570061776538,0.9224823818192681,0.02472741488536922,0.0010320986123819598,0.009716
1B,0,30,0.45,0.22,0.24,0.09,0.003498,0.006362,0.48494,0.5052,0.011993958855031196,0.9282267841712001,0.02483373733708402,0.001426276707213462,0.009859999999999999
1B,0,31,0.45,0.22,0.24,0.09,0.003544,0.006598,0.484814,0.505044,0.011991349509780435,0.9332394282390477,0.026260457617296944,0.001386661147228166,0.010142
1B,0,32,0.45,0.22,0.24,0.09,0.003342,0.005532,0.48534,0.505786,0.012000248063934042,0.9363546295718986,0.023043231643204102,0.00126653942697568,0.008874
1B,0,33,0.45,0.22,0.24,0.09,0.00372,0.006634,0.48475,0.504896,0.011988016974891514,0.9370182485694382,0.02184892011793547,0.001397022000349444,0.010354
1B,0,34,0.45,0.22,0.24,0.09,0.003512,0.005888,0.485126,0.505474,0.011994571262547214,0.9367725010416785,0.02132223626055314,0.0012928045881421717,0.0094
1B,0,35,0.45,0.22,0.24,0.09,0.003512,0.006102,0.485006,0.50538,0.011995100667023412,0.9318628598562634,0.02062141710437009,0.0016229272789069838,0.009614
1B,0,36,0.45,0.22,0.24,0.09,0.00341,0.005634,0.485236,0.50572,0.011999634402438675,0.9353349642382082,0.02203005460293901,0.0012649007080282424,0.009044
1B,0,37,0.45,0.22,0.24,0.09,0.00344,0.005602,0.485276,0.505682,0.011999432601851193,0.9399386534380963,0.02086044987319564,0.0012461878449584547,0.009042
1B,0,38,0.45,0.22,0.24,0.09,0.00353,0.005708,0.485164,0.505598,0.011997521051642934,0.941905543736338,0.022877643941915465,0.0013634294085322503,0.009238
1B,0,39,0.45,0.22,0.24,0.09,0.003374,0.005152,0.48546,0.506014,0.012001520831576254,0.9424304729533893,0.021082381079382786,0.0012147520081599989,0.008526
1B,0,40,0.45,0.22,0.24,0.09,0.003594,0.006034,0.485012,0.50536,0.011993562862819806,0.9403245171181,0.02227993101961873,0.0014259936322960662,0.009628000000000001
1B,0,41,0.45,0.22,0.24,0.09,0.003258,0.005722,0.48532,0.5057,0.012000811166665584,0.9419448878642803,0.02324258413248372,0.0010792716489019564,0.00898
1B,0,42,0.45,0.22,0.24,0.09,0.003416,0.005532,0.48529,0.505762,0.011999880950538501,0.944330965983997,0.02325767759860684,0.0011942456175115877,0.008948
