target_name,run,gen,X_L,X_F,X_B,X_C,f_L,f_F,f_B,f_C,mean_fitness,mean_p_F_given_L,mean_p_L_given_F,mean_p_L_given_B,CM
2A,0,0,0.38,0.15,0.11,0.36,0.491136,0.477926,0.025044,0.005894,0.00786680130817328,0.501749931768934,0.5096364483776084,0.4972807679216217,0.9690620000000001
2A,0,1,0.38,0.15,0.11,0.36,0.277428,0.679968,0.035588,0.007016,0.009570158349248402,0.6709668602321055,0.30237365667300387,0.46965819445972884,0.957396
2A,0,2,0.38,0.15,0.11,0.36,0.12542,0.803466,0.058998,0.012116,0.011220112619406641,0.6925533245927598,0.1015329310188104,0.46422291803683224,0.928886
2A,0,3,0.38,0.15,0.11,0.36,0.088508,0.590862,0.206804,0.113826,0.010674775779589439,0.7322697412752177,0.031911816396101675,0.4047320314026242,0.67937
2A,0,4,0.38,0.15,0.11,0.36,0.10055,0.645098,0.171838,0.082514,0.01079291848482949,0.8206172673461126,0.013465070103418198,0.5297797914600496,0.745648
2A,0,5,0.38,0.15,0.11,0.36,0.10094,0.624508,0.182146,0.092406,0.010687024873593881,0.8930803701946424,0.008111916114141506,0.5448772180575068,0.725448
2A,0,6,0.38,0.15,0.11,0.36,0.10041,0.618852,0.185246,0.095492,0.010660463048037321,0.9336982435873242,0.005417963164293592,0.5631666112766481,0.719262
2A,0,7,0.38,0.15,0.11,0.36,0.103716,0.628058,0.178486,0.08974,0.010669011029856674,0.9511236122567261,0.004407488280151094,0.5920992505001236,0.731774
2A,0,8,0.38,0.15,0.11,0.36,0.105382,0.625346,0.178738,0.090534,0.01063918063483309,0.9607970776816701,0.003497680352023473,0.6001667089404292,0.7307279999999999
2A,0,9,0.38,0.15,0.11,0.36,0.104254,0.625904,0.179182,0.09066,0.010654268304749963,0.9677714894656947,0.003022672445706598,0.6008242412437903,0.730158
2A,0,10,0.38,0.15,0.11,0.36,0.104018,0.623344,0.18076,0.091878,0.010644339951445151,0.9732439382181363,0.002808156814670916,0.6013578975059943,0.7273620000000001
2A,0,11,0.38,0.15,0.11,0.36,0.104946,0.625082,0.179096,0.090876,0.010640534008587926,0.9768655555960538,0.0025855759510797424,0.6038472111945751,0.730028
2A,0,12,0.38,0.15,0.11,0.36,0.10573,0.629734,0.176254,0.088282,0.010656293374071946,0.9791080080288457,0.0025417956466351655,0.6151393738238526,0.735464
2A,0,13,0.38,0.15,0.11,0.36,0.105274,0.627426,0.177716,0.089584,0.010648897537928017,0.9815923170637337,0.0018737672192144614,0.6175291855518276,0.7327
2A,0,14,0.38,0.15,0.11,0.36,0.10564,0.624376,0.179176,0.090808,0.010632650748900052,0.9846107393383218,0.0021852271611360026,0.6142292019879658,0.730016
2A,0,15,0.38,0.15,0.11,0.36,0.104332,0.625044,0.179586,0.091038,0.01064824289613792,0.9864223135189638,0.0020462038782576414,0.6108276175384442,0.729376
2A,0,16,0.38,0.15,0.11,0.36,0.105636,0.623838,0.179348,0.091178,0.01062751786504658,0.9873456069158713,0.0020127002920887504,0.6168502244669292,0.729474
2A,0,17,0.38,0.15,0.11,0.36,0.104938,0.6244,0.179574,0.091088,0.010639388300383194,0.988219492525395,0.0020793776890881805,0.6102818064729486,0.7293379999999999
2A,0,18,0.38,0.15,0.11,0.36,0.105318,0.625542,0.17871,0.09043,0.010641392724683233,0.9890296574583525,0.002090554816727379,0.6190237604607166,0.7308600000000001
2A,0,19,0.38,0.15,0.11,0.36,0.10397,0.629844,0.177218,0.088968,0.010672503601063131,0.9896157084229231,0.0016596562711725996,0.6095024635032912,0.733814
2A,0,20,0.38,0.15,0.11,0.36,0.10561,0.625794,0.178284,0.090312,0.010637343885248432,0.9902341442631407,0.002025851235029973,0.6112437333320752,0.7314039999999999
2A,0,21,0.38,0.15,0.11,0.36,0.103002,0.624102,0.180786,0.09211,0.010655506951112496,0.9912252808203807,0.0017524306867670262,0.5923033698549622,0.7271040000000001
2A,0,22,0.38,0.15,0.11,0.36,0.103518,0.629056,0.177922,0.089504,0.010672983860901441,0.9917214342266544,0.0019037723184820846,0.6000043072220844,0.732574
2A,0,23,0.38,0.15,0.11,0.36,0.104108,0.6309,0.176578,0.088414,0.010675795142151017,0.99244554365346,0.0017314532393654246,0.6037414493699711,0.735008
2A,0,24,0.38,0.15,0.11,0.36,0.10292,0.622922,0.1814,0.092758,0.010649979221336234,0.9935908568617626,0.0018526149392952263,0.5887684552282729,0.725842
2A,0,25,0.38,0.15,0.11,0.36,0.102738,0.628688,0.178756,0.089818,0.010681256880140303,0.993389827682249,0.0019652419319963624,0.5924432975766221,0.731426
2A,0,26,0.38,0.15,0.11,0.36,0.103372,0.626396,0.179384,0.090848,0.010662813946310095,0.9941166288859722,0.0017493287495811338,0.5978208847451294,0.729768
2A,0,27,0.38,0.15,0.11,0.36,0.103282,0.62369,0.180878,0.09215,0.01065193606066279,0.9946366035280338,0.0013705189661670067,0.593913262028158,0.726972
2A,0,28,0.38,0.15,0.11,0.36,0.103536,0.628222,0.178342,0.0899,0.010669207309347943,0.9944518194038716,0.0017132412458415631,0.6043087615479414,0.7317579999999999
2A,0,29,0.38,0.15,0.11,0.36,0.103992,0.624462,0.179968,0.091578,0.010646563808642404,0.9945389359892549,0.0016909268483291662,0.6024053643044042,0.7284539999999999
2A,0,30,0.38,0.15,0.11,0.36,0.106338,0.62944,0.176088,0.088134,0.010647216794998632,0.9948061131405977,0.0015126929348259956,0.6219896055880504,0.735778
2A,0,31,0.38,0.15,0.11,0.36,0.106948,0.632618,0.173904,0.08653,0.010654990607294948,0.9945040985751089,0.0014664963985724921,0.6351226645331167,0.7395660000000001
2A,0,32,0.38,0.15,0.11,0.36,0.11043,0.633242,0.171298,0.08503,0.010619906198992326,0.9945390494067653,0.0016337915363326112,0.6612442213516867,0.743672
2A,0,33,0.38,0.15,0.11,0.36,0.110412,0.630292,0.172876,0.08642,0.010606516810904033,0.9944268614347448,0.002002193982560449,0.6564913691439479,0.7407039999999999
2A,0,34,0.38,0.15,0.11,0.36,0.109976,0.628956,0.173948,0.08712,0.010609764391257439,0.9945876396413034,0.0019252978582113783,0.6501027470612629,0.7389319999999999
2A,0,35,0.38,0.15,0.11,0.36,0.108298,0.629818,0.174532,0.087352,0.010629418249678132,0.9946447047038567,0.0022787348788169096,0.6487388352230323,0.738116
2A,0,36,0.38,0.15,0.11,0.36,0.109466,0.626708,0.175366,0.08846,0.01060293423402063,0.9953948571308555,0.0021436139674980317,0.6471738607216568,0.736174
2A,0,37,0.38,0.15,0.11,0.36,0.106548,0.633592,0.173734,0.086126,0.010664137703098571,0.9947886608503097,0.00192055102553928,0.6386079719029647,0.74014
2A,0,38,0.38,0.15,0.11,0.36,0.10926,0.626644,0.17559,0.088506,0.010604855836809328,0.9942117868140607,0.0018151287487179566,0.6494429836436987,0.735904
2A,0,39,0.38,0.15,0.11,0.36,0.108614,0.62491,0.176806,0.08967,0.010602468568353963,0.9939485185104149,0.0018081422213397271,0.6368267230216353,0.733524
2A,0,40,0.38,0.15,0.11,0.36,0.108516,0.625252,0.176794,0.089438,0.010604757510323514,0.9943288280034907,0.0017866955966457999,0.6413257709918601,0.733768
2A,0,41,0.38,0.15,0.11,0.36,0.108048,0.62616,0.176502,0.08929,0.010614442055115383,0.9939998993110346,0.0014908560149619924,0.6382794346171634,0.7342080000000001
2A,0,42,0.38,0.15,0.11,0.36,0.10822,0.62653,0.176356,0.088894,0.010615592939919288,0.9949509630641851,0.0017472428052223764,0.6427061464096948,0.73475
2A,0,43,0.38,0.15,0.11,0.36,0.108216,0.625,0.177062,0.089722,0.010606641218451016,0.994831646490953,0.00209713535988141,0.6368886295576055,0.733216
2A,0,44,0.38,0.15,0.11,0.36,0.10665,0.630364,0.175356,0.08763,0.01064886534698957,0.994211309094701,0.0017416680683721665,0.6322667963733762,0.7370140000000001
2A,0,45,0.38,0.15,0.11,0.36,0.105096,0.6327,0.175102,0.087102,0.010673068777966293,0.9933314400340583,0.0021047242965247814,0.6260971104154258,0.737796
2A,0,46,0.38,0.15,0.11,0.36,0.108204,0.634184,0.1723,0.085312,0.010648798223842557,0.9920605877087683,0.001890174115250689,0.6462752188518568,0.7423879999999999
2A,0,47,0.38,0.15,0.11,0.36,0.107134,0.63362,0.173292,0.085954,0.010656452755375002,0.9926422902683611,0.0020742425519345176,0.6374008935417282,0.7407539999999999
2A,0,48,0.38,0.15,0.11,0.36,0.105318,0.62543,0.178722,0.09053,0.010638135819392098,0.9931238961045498,0.0016292266305593008,0.6146509250186334,0.7307480000000001
2A,0,49,0.38,0.15,0.11,0.36,0.105794,0.62513,0.17849,0.090586,0.010632736588522602,0.9923869305932539,0.0020414442759805604,0.6159390625705295,0.7309239999999999
